Stasiun,Long,Lat,Elev,JDD
Lae Hole,98.43,2.67,1361,17483.57515
Sitinjo,98.37,2.73,1110,18931.75945
Baktiraja,98.8,2.31,1047,3332.696429
Dolok Sanggul,98.778,2.27,1470,8221.93926
Onanganjang,98.642,2.171,1255,26663.16412
Pakkat,98.469,2.177,497,42703.97483
Paranginan,98.93,2.31,1436,3873.874864
Parlilitan,98.46,2.32,801,34266.80575
Pollung,98.691,2.363,1446,12841.06127
Sijamapolang,98.716,2.169,1482,21249.20123
Merek,98.523,2.911,1137,1585.747893
Harian,98.65,2.62,1268,808.5719773
Nainggolan,98.904,2.443,948,776.1773727
Onan Runggu,98.959,2.501,1124,1665.780192
Palipi,98.801,2.493,914,362.9203347
Pangururan,98.726,2.633,1168,3789.841618
Ronggur Nihuta,98.8,2.608,1547,8427.215454
Sianjur Mula-mula,98.666,2.619,1240,919.1244369
Simanindo,98.793,2.714,1133,1629.529711
Sitio-Tio,98.77,2.44,1160,1058.50695
Marjandi,98.95,2.92,731,21963.46303
Sidamanik,98.859,2.821,1102,7076.371528
SMPK Marihat,99.111,2.946,311,34475.88141
Stageof Parapat,98.930184,2.699167,1404,728.1705586
Gabe Hutaraja,98.9609,2.15,1165,19402.51781
Muara,98.964,2.279,1477,5987.911632
Siborong-borong,99.092,2.25,1397,10085.96629
Ajibata,98.932,2.648,997,422.0712156
Balige,99.07,2.33,935,1130.671303
Laguboti,99.141,2.351,923,2602.609681
Lumban Julu,99.08,2.564,1243,6808.526667
Sigumpar,99.201,2.388,935,5455.510033
Silaen,99.225,2.4,966,7928.988985
Porsea,99.183,2.476,950,6156.837652
